duration,src_bytes,dst_bytes,class
con,con,con,cat
-2.302585092994045,294,4088,0
-2.302585092994045,164,4038,0
-2.302585092994045,181,5929,0
-2.302585092994045,314,3337,0
-2.302585092994045,227,1987,0
-2.302585092994045,220,660,0
-2.302585092994045,335,498,0
-2.302585092994045,354,421,0
-2.302585092994045,313,2043,0
-2.302585092994045,232,3222,0
-2.302585092994045,54540,8314,1
-2.302585092994045,295,1535,0
-2.302585092994045,238,596,0
-2.302585092994045,313,17602,0
-2.302585092994045,232,408,0
-2.302585092994045,291,760,0
-2.302585092994045,257,1259,0
-2.302585092994045,230,1075,0
-2.302585092994045,351,651,0
-2.302585092994045,223,1415,0
-2.302585092994045,288,555,0
-2.302585092994045,208,751,0
-2.302585092994045,232,479,0
-2.302585092994045,235,608,0
-2.302585092994045,382,397,0
-2.302585092994045,197,259,0
-2.302585092994045,322,1514,0
-2.302585092994045,294,260,0
-2.302585092994045,248,5651,0
-2.302585092994045,302,2143,0
-2.302585092994045,222,1289,0
-2.302585092994045,247,476,0
-2.302585092994045,244,2090,0
-2.302585092994045,228,9295,0
-2.302585092994045,322,1491,0
-2.302585092994045,219,2387,0
-2.302585092994045,316,1337,0
-2.302585092994045,204,296,0
-2.302585092994045,191,3712,0
-2.302585092994045,197,281,0
-2.302585092994045,259,1072,0
-2.302585092994045,319,5133,0
-2.302585092994045,208,8421,0
-2.302585092994045,314,420,0
-2.302585092994045,212,3433,0
-2.302585092994045,298,801,0
-2.302585092994045,226,397,0
-2.302585092994045,278,17744,0
-2.302585092994045,220,1158,0
-2.302585092994045,235,2507,0
-2.302585092994045,310,3491,0
-2.302585092994045,216,2071,0
-2.302585092994045,208,3070,0
-2.302585092994045,300,1075,0
-2.302585092994045,208,1538,0
-2.302585092994045,317,1610,0
-2.302585092994045,218,1571,0
-2.302585092994045,196,7203,0
-2.302585092994045,235,3222,0
-2.302585092994045,277,313,0
-2.302585092994045,258,12984,0
-2.302585092994045,218,1718,0
-2.302585092994045,210,564,0
-2.302585092994045,234,2239,0
-2.302585092994045,213,669,0
-2.302585092994045,310,25024,0
-2.302585092994045,287,1395,0
-2.302585092994045,311,11059,0
-2.302585092994045,322,1931,0
-2.302585092994045,321,3742,0
-2.302585092994045,249,269,0
-2.302585092994045,201,322,0
-2.302585092994045,241,1301,0
-2.302585092994045,232,12882,0
-2.302585092994045,340,327,0
-2.302585092994045,326,513,0
-2.302585092994045,229,1075,0
-2.302585092994045,321,2457,0
-2.302585092994045,321,382,0
-2.302585092994045,322,272,0
-2.302585092994045,229,4811,0
-2.302585092994045,255,1419,0
-2.302585092994045,227,14185,0
-2.302585092994045,339,591,0
-2.302585092994045,346,333,0
-2.302585092994045,149,8152,0
-2.302585092994045,323,1377,0
-2.302585092994045,204,604,0
-2.302585092994045,214,765,0
-2.302585092994045,320,4760,0
-2.302585092994045,204,3776,0
-2.302585092994045,212,6013,0
-2.302585092994045,338,67236,0
-2.302585092994045,365,10290,0
-2.302585092994045,262,721,0
-2.302585092994045,312,527,0
-2.302585092994045,225,437,0
-2.302585092994045,264,720,0
-2.302585092994045,319,424,0
-2.302585092994045,217,466,0
-2.302585092994045,296,1511,0
-2.302585092994045,196,308,0
-2.302585092994045,197,1043,0
-2.302585092994045,226,308,0
-2.302585092994045,225,3198,0
-2.302585092994045,329,458,0
-2.302585092994045,178,24868,0
-2.302585092994045,252,805,0
-2.302585092994045,160,35215,0
-2.302585092994045,198,2187,0
-2.302585092994045,241,1078,0
-2.302585092994045,299,1257,0
-2.302585092994045,223,366,0
-2.302585092994045,352,408,0
-2.302585092994045,191,4690,0
-2.302585092994045,252,2018,0
-2.302585092994045,324,3285,0
-2.302585092994045,231,2093,0
-2.302585092994045,208,32544,0
-2.302585092994045,200,1460,0
-2.302585092994045,284,659,0
-2.302585092994045,309,804,0
-2.302585092994045,326,1013,0
-2.302585092994045,256,458,0
-2.302585092994045,299,6534,0
-2.302585092994045,234,2005,0
-2.302585092994045,223,1474,0
-2.302585092994045,393,9867,0
-2.302585092994045,234,14570,0
-2.302585092994045,348,988,0
-2.302585092994045,190,261,0
-2.302585092994045,310,422,0
-2.302585092994045,224,285,0
-2.302585092994045,309,12922,0
-2.302585092994045,276,171,0
-2.302585092994045,241,564,0
-2.302585092994045,203,1407,0
-2.302585092994045,191,26922,0
-2.302585092994045,303,1380,0
-2.302585092994045,244,2099,0
-2.302585092994045,209,879,0
-2.302585092994045,209,1811,0
-2.302585092994045,305,2698,0
-2.302585092994045,296,1349,0
-2.302585092994045,233,9308,0
-2.302585092994045,202,3734,0
-2.302585092994045,279,185,0
-2.302585092994045,295,5938,0
-2.302585092994045,285,381,0
-2.302585092994045,297,3029,0
-2.302585092994045,219,3313,0
-2.302585092994045,186,2098,0
-2.302585092994045,218,1738,0
-2.302585092994045,253,1588,0
-2.302585092994045,278,530,0
-2.302585092994045,224,4722,0
-2.302585092994045,309,1109,0
-2.302585092994045,308,3781,0
-2.302585092994045,222,3080,0
-2.302585092994045,209,16912,0
-2.302585092994045,320,392,0
-2.302585092994045,275,313,0
-2.302585092994045,298,978,0
-2.302585092994045,233,1569,0
-2.302585092994045,231,5280,0
-2.302585092994045,399,229,0
-2.302585092994045,291,21181,0
-2.302585092994045,348,247,0
-2.302585092994045,226,38008,0
-2.302585092994045,200,594,0
-2.302585092994045,279,412,0
-2.302585092994045,340,314,0
-2.302585092994045,216,955,0
-2.302585092994045,348,484,0
-2.302585092994045,323,270,0
-2.302585092994045,292,3658,0
-2.302585092994045,211,2701,0
-2.302585092994045,363,6402,0
-2.302585092994045,189,308,0
-2.302585092994045,211,321,0
-2.302585092994045,416,236,0
-2.302585092994045,206,658,0
-2.302585092994045,265,432,0
-2.302585092994045,227,3552,0
-2.302585092994045,238,1196,0
-2.302585092994045,238,289,0
-2.302585092994045,309,22132,0
-2.302585092994045,209,450,0
-2.302585092994045,290,3231,0
-2.302585092994045,249,290,0
-2.302585092994045,252,250,0
-2.302585092994045,217,1856,0
-2.302585092994045,218,675,0
-2.302585092994045,278,622,0
-2.302585092994045,330,531,0
-2.302585092994045,238,15348,0
-2.302585092994045,249,451,0
-2.302585092994045,196,83009,0
-2.302585092994045,344,3854,0
-2.302585092994045,191,1925,0
-2.302585092994045,149,34989,0
-2.302585092994045,285,14812,0
-2.302585092994045,302,1075,0
-2.302585092994045,167,3299,0
-2.302585092994045,230,1396,0
-2.302585092994045,200,1697,0
-2.302585092994045,249,602,0
-2.302585092994045,230,15027,0
-2.302585092994045,217,45836,0
-2.302585092994045,201,4902,0
-2.302585092994045,212,2442,0
-2.302585092994045,341,340,0
-2.302585092994045,325,3866,0
-2.302585092994045,306,1628,0
-2.302585092994045,230,3222,0
-2.302585092994045,192,11752,0
-2.302585092994045,146,13277,0
-2.302585092994045,231,494,0
-2.302585092994045,341,7169,0
-2.302585092994045,314,4282,0
-2.302585092994045,225,434,0
-2.302585092994045,209,1511,0
-2.302585092994045,216,7384,0
-2.302585092994045,228,1413,0
-2.302585092994045,231,4896,0
-2.302585092994045,323,2462,0
-2.302585092994045,241,5690,0
-2.302585092994045,217,921,0
-2.302585092994045,307,131,0
-2.302585092994045,192,3750,0
-2.302585092994045,198,520,0
-2.302585092994045,470,8257,0
