attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,out
con,con,con,con,con,con,cat,cat,cat,cat,cat,cat,cat,cat,cat
0.2795320313812273,0.25428583834122936,0.1897277161224726,0.3578956866660741,0.41849027093344365,0.20854700102964463,0,0,0,0,0,0,0,0,0
0.3004792679117968,0.22028823412645326,0.17879534396088773,0.2977970071309517,0.29345808631215525,0.3253682988365867,0,0,0,0,0,0,0,0,0
0.6985618874483166,0.6945900969011121,0.7150693956942292,0.7170734480988481,0.8891467415309557,0.7146279435877545,4,4,4,4,4,4,4,4,0
0.28429263440019076,0.16306819951599605,0.2421656163908216,0.3260561750863723,0.06166057113755724,0.3162534426196638,0,0,0,0,0,0,0,0,0
0.8075593146423695,0.6692671029069425,0.5671956945105188,0.7406039088488842,0.6578773141146141,0.6066524679387437,4,4,4,4,4,4,4,4,0
0.7913718579831557,0.7821311145112491,0.7620925886304997,0.7586498337446828,0.634302524658267,0.8503466526552332,4,4,4,4,4,4,4,4,0
0.7722583756613814,0.6604799895371489,0.4833145431711621,0.8132237854850848,0.6539604387414545,0.8904956973618002,4,2,1,1,2,0,1,2,1
0.6944658826535403,0.8987677322115608,0.8624523040751048,0.8307300695992288,0.7008100216205554,0.7072476822935058,4,4,4,4,4,4,4,4,0
0.7316784482906695,0.6667186955183679,0.7780045981541528,0.8769086580339794,0.7336050223650239,0.7011712391423193,4,4,4,4,4,4,4,4,0
0.27228355024623196,0.08749692505748227,0.19409406761444464,0.18716008641653425,0.16815950835622534,0.36124240248980044,0,0,0,0,0,0,0,0,0
0.23052567428925758,0.1787694306911944,0.1686094217323132,0.1616410722174083,0.33954317276242874,0.23468052892783847,0,0,0,0,0,0,0,0,0
0.6124718838082425,0.8292040787278452,0.6824942676709043,0.7383647495396035,0.7935140870551293,0.8386177605633083,4,4,4,4,4,4,4,4,0
0.6434220979241538,0.803950914385528,0.9634026472645545,0.7847093264409838,0.7917114582318767,0.9116259952093709,4,1,0,1,2,3,1,1,1
0.8297395881903475,0.8133901545130252,0.6502842850568983,0.7189332189957923,0.96465559602362,0.8242615707354127,4,4,4,4,4,4,4,4,0
0.7718215253274238,0.8484215684539391,0.8045305576944495,0.5962672071144238,0.9154276626330394,0.809839365886754,4,4,4,4,4,4,4,4,0
0.29095947718071924,0.2399545605040406,0.17371260469116723,0.27010774592269643,0.35063547180991006,0.188024563788844,0,0,0,0,0,0,0,0,0
0.6213543810377425,0.8375505240062125,0.6966112581130555,0.7048082759908535,0.6764695123003149,0.7652421608749642,4,4,4,4,4,4,4,4,0
0.836928516313367,0.6678548456402325,0.5615564692852927,0.6885919146118765,0.8053807627897537,0.7868207466359995,4,4,4,4,4,4,4,4,0
0.7526486697554433,0.8379894764597932,0.723900091654904,0.8859538052077021,0.7563254991759729,0.8142264371850184,4,4,4,4,4,4,4,4,0
0.12062993394197055,0.3264068366059262,0.24789432605479578,0.23946652396439816,0.12418101796716216,0.19218149085693226,0,0,0,0,0,0,0,0,0
0.22675114347516945,0.2213252795670341,0.15570621441879967,0.26291132413292756,0.21793075717200358,0.18020379993921795,0,0,0,0,0,0,0,0,0
0.825457102745243,0.6886929762858923,0.7541027909324197,0.7446646463154066,0.7746305195687628,0.8684141175096927,4,4,4,4,4,4,4,4,0
0.31894085336720857,0.10300799389850848,0.1229038593877469,0.2522052572877281,0.19662844020122583,0.16351450866218337,0,0,0,0,0,0,0,0,0
0.6504103167987036,0.8753463273979161,0.8062049592328376,0.7623754594674432,0.7568638381297582,0.6982894126020095,4,4,4,4,4,4,4,4,0
0.2903917882675509,0.3092485505471681,0.16386247139152726,0.31383930005579475,0.24456014615111757,0.04575480622562103,0,0,0,0,0,0,0,0,0
0.3254606803920509,0.330131684881288,0.2561867486268668,0.2690038400922509,0.2728682003183235,0.10659806266139416,0,0,0,0,0,0,0,0,0
0.7167686565919408,0.6224133259125151,0.5885840306925505,0.8319454100343042,0.732099939583227,0.7522887569364093,4,4,4,4,4,4,4,4,0
0.8735688172464807,0.8534201233772511,0.8592967206003755,0.7782390981888119,0.6722645215184831,0.804015047122768,4,4,4,4,4,4,4,4,0
0.861098904187116,0.7667539434137552,0.8103317448587098,0.6642186521990268,1.0215426105160454,0.693891375781286,0,4,0,2,0,0,1,2,1
0.8411383157682112,0.7488707128400567,0.6994051954693016,0.881561966374432,0.5820274502395075,0.572329087025804,4,4,4,4,4,4,4,4,0
0.2523467215485563,0.1604523666224664,0.16023314527315047,0.3516908477035461,0.1346191282465221,0.36739269181651857,0,0,0,0,0,0,0,0,0
0.24786959917170198,0.19668306857215478,0.2098251110363213,0.29941111316070923,0.3012138622232007,0.3555689610056962,0,0,0,0,0,0,0,0,0
0.667295908954274,0.6886884603126615,0.745442270812618,0.7177734084680627,0.8350431217746054,0.7820705607847641,4,4,4,4,4,4,4,4,0
0.16590285461751256,0.3024684019519061,0.24426485322323874,0.221433536316721,0.22466083495863895,0.3046848131223213,0,0,0,0,0,0,0,0,0
0.18273955755003407,0.30137529089740117,0.3257045595004794,0.17744325069391748,0.2843061101193318,0.3084803134692877,0,0,0,0,0,0,0,0,0
0.7434963823845698,0.7422599546571473,0.7819723292568893,0.708543851048377,0.8223708288724644,0.7358290847690023,4,4,4,4,4,4,4,4,0
0.7509325031218383,0.8176385018715342,0.7500168691223592,0.619216118688789,0.7338011300426478,0.6978004524581627,4,4,4,4,4,4,4,4,0
0.8362272708914683,0.7536903919591725,0.7350805394963765,0.7753802144527905,0.7959469808376834,0.7308270084682897,4,4,4,4,4,4,4,4,0
0.2972127173787544,0.2701513682873195,0.09171059968166714,0.08979059630858716,0.2775069612809401,0.3772430806447077,0,0,0,0,0,0,0,0,0
