attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,out
con,con,con,con,con,con,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat,cat
0.37318735834632744,0.5552473510956714,0.5040416797503496,0.688646209275211,0.377369255530253,0.2978022701756713,0,0,0,0,0,0,0,0,0,2,3,4,0
0.4980166917216876,0.5118223265551157,0.5026183618828866,0.5029511731125075,0.5049222227961108,0.5038050875920237,4,4,4,4,4,4,4,4,4,4,0,0,0
0.5013760731182748,0.5083352120165568,0.48636090944015054,0.4957047544590521,0.4995325450215694,0.49185900346257594,4,4,4,4,4,4,4,4,4,4,2,1,0
0.4394150473918511,0.705550575505711,0.5151953726622027,0.5822043299991371,0.4913050161476401,0.7930537429801601,0,0,0,0,0,0,0,0,0,0,3,2,0
0.48721609187485615,0.5021315304372926,0.4768675178858115,0.5144378993452683,0.502450599243873,0.48894128924814445,4,4,4,4,4,4,4,4,4,0,1,0,0
0.5937958134709669,0.425099881349548,0.6469869760976957,0.4526153340023984,0.38879833382783124,0.49303207418572825,0,0,0,0,0,0,0,0,0,1,0,3,0
0.34775915415059866,0.6253510844772299,0.39831716906697245,0.29602648701119527,0.8613261107687865,0.7941490133192133,0,0,0,0,0,0,0,0,0,2,0,1,0
0.5059833445062978,0.5094589137487169,0.5112841714422734,0.49356410809776713,0.5230238478675647,0.49709824999303864,4,4,4,4,4,4,4,4,4,0,0,3,0
0.5222619435489395,0.5831018569725861,0.3303722143107022,0.2392901910395669,0.6223198821232703,0.3845476451055093,0,0,0,0,0,0,0,0,0,3,2,1,0
0.4903582699524141,0.5072988590292874,0.4846015666098534,0.5133781147202346,0.49055288528031044,0.4932291111995959,4,4,4,4,4,4,4,4,4,4,2,3,0
0.5134133375848171,0.4919266377115836,0.5025080840340399,0.49090105870820794,0.5019159052110318,0.5074796277128517,4,4,4,4,4,4,4,4,4,4,3,3,0
0.4459648819039344,0.5724366459719447,0.3340508166089739,0.4270324169688987,0.3844002793025914,0.5215590709620458,0,0,0,0,0,0,0,0,0,0,4,4,0
0.4887298678806689,0.5009761500959251,0.4779567391163386,0.4919823240968156,0.49368131961323386,0.49305103435910663,4,4,4,4,4,4,4,4,4,0,0,2,0
0.4879784388572727,0.4968254150187282,0.49529558843401716,0.507807059895198,0.497126476919494,0.4899125030263514,4,4,4,4,4,4,4,4,4,1,3,1,0
0.5094661051651316,0.6907852416182182,0.3337208964093349,0.3914024236081491,0.7125159609938926,0.6424615946624908,0,0,0,0,0,0,0,0,0,1,0,2,0
0.36173501473729275,0.56443350589514,0.5059715848609153,0.1292280628378698,0.6395702141474979,0.4035459489922512,0,0,0,0,0,0,0,0,0,1,2,2,0
0.4929011391070774,0.4861219205169557,0.5022985633624539,0.5329135684791019,0.49497461539894666,0.4991866368014601,4,4,4,0,3,0,4,1,4,1,4,3,1
0.4892613434646603,0.5056908784970753,0.5029321112306081,0.49207242281390934,0.5021680978163005,0.5034531292742906,4,4,4,4,4,4,4,4,4,0,0,4,0
0.48472776343338686,0.4883768650162094,0.49093841238755004,0.5200257079697335,0.5060480037670778,0.4914422561860795,4,4,4,4,4,4,4,4,4,0,3,3,0
0.4996208266127694,0.5054544095329591,0.5049534610704499,0.5072992301340529,0.49443179900450274,0.500187341361394,4,4,4,4,4,4,4,4,4,3,1,1,0
0.5090568273041904,0.498214256545979,0.5082093899492818,0.49579365074767995,0.49534283758565373,0.5149586677292607,4,4,4,4,4,4,4,4,4,0,4,1,0
0.4929537744093383,0.5024863040094564,0.5043377301017867,0.5063441524763429,0.47407084523893117,0.4908741547338823,4,4,4,4,4,4,4,4,4,4,0,3,0
0.5942328389480436,0.47674529080715566,0.3094065887503592,0.6560539995387555,0.556750329864316,0.49445813432950664,0,0,0,0,0,0,0,0,0,2,3,1,0
0.13252572872682927,0.27527375997491443,0.5897365109093907,0.5974304676492597,0.3892846652227815,0.46961951203374347,0,0,0,0,0,0,0,0,0,2,3,0,0
0.5558716827466583,0.5975928461597391,0.6951939667021687,0.4885156152600615,0.7776807402979364,0.587231871919042,0,0,0,0,0,0,0,0,0,0,2,2,0
0.5207961367545927,0.5063461992900887,0.5000824671090179,0.5029042466823301,0.5036972206093877,0.4979742596506844,4,4,4,4,4,4,4,4,4,2,2,0,0
0.497918224051958,0.4955438419871256,0.49575174545145034,0.49129048716622314,0.5142129910623416,0.4862884194344737,4,4,4,4,4,4,4,4,4,2,4,0,0
0.26004433780137065,0.684988263382509,0.4044664729121834,0.38775495353991607,0.3952242484238345,0.6130869985784113,0,0,0,0,0,0,0,0,0,3,0,2,0
0.48938858152392856,0.5052472749810845,0.524883281246453,0.4925284624539119,0.5075777331715675,0.49971526324182575,4,4,4,4,4,4,4,4,4,3,2,4,0
0.5165211380573054,0.6512073206099931,0.3756580045184822,0.47934158586071807,0.6574935377897189,0.8329137682406491,0,0,0,0,0,0,0,0,0,0,2,4,0
0.47297942699996065,0.812070529554151,0.8322621787727467,0.7248086449942799,0.2694547621383033,0.14988433705197418,1,3,1,4,4,4,4,0,4,3,4,3,1
0.8484120207188736,0.5997913669286539,0.6848909723415837,0.39058928643651386,0.6693788273160255,0.39226962140675553,0,0,0,0,0,0,0,0,0,0,3,1,0
0.2869662365568002,0.47101517709564633,0.6632093254500312,0.1392579711282005,0.4220958709439866,0.4644138703094328,0,0,0,0,0,0,0,0,0,0,1,0,0
0.48651419674094426,0.4971140367377412,0.49895542771687873,0.5039909402648735,0.4787388912065768,0.49748181559831706,4,4,4,4,4,4,4,4,4,2,3,2,0
0.5045512018849778,0.4919886887938943,0.5043815386105113,0.5068122246472566,0.5013101217158832,0.5038237660473017,4,4,4,4,4,4,4,4,4,3,0,3,0
0.4969693152100858,0.4970280180401889,0.5112621486062979,0.5028701468124799,0.495663453081224,0.504543939377409,4,4,4,4,4,4,4,4,4,3,3,1,0
0.5170642399701048,0.4891023837158248,0.5184916826823694,0.49162423508765285,0.5063554411564384,0.5197421079842315,4,4,4,4,4,4,4,4,4,3,0,1,0
0.48917518002300614,0.515935672102904,0.49482893254392957,0.5016425030024964,0.5063913991132247,0.50461010167821,4,4,4,4,4,4,4,4,4,0,4,3,0
0.2179940303485961,0.20173482813725907,0.44427299773429935,0.46648778689235193,0.34175292382703754,0.2725101540034488,0,0,0,0,0,0,0,0,0,1,4,3,0
0.4888918130646371,0.5025704582476969,0.507576034568818,0.5096867604722943,0.502851657077961,0.5124217229103276,4,4,4,4,4,4,4,4,4,4,4,4,0
0.481779711479075,0.511214350860518,0.48453154962377365,0.5080698912771306,0.48492851342246124,0.49840881609693155,4,4,4,4,4,4,4,4,4,1,3,0,0
0.5075191221344953,0.49313313970413497,0.5084720898137345,0.49688104369710645,0.5054792611097088,0.5063979889896995,4,4,4,4,4,4,4,4,4,0,2,2,0
0.4953833648122883,0.4886750703073023,0.531988828418228,0.5048454600070811,0.5033193074682738,0.47643827844155734,2,0,3,3,4,1,2,2,1,3,3,2,1
0.627127328371469,0.48262352239550327,0.2096810599806458,0.2861452032964757,0.652947731599644,0.47005322676371253,0,0,0,0,0,0,0,0,0,3,4,3,0
0.507518681413288,0.5067439339665122,0.4754869752888229,0.487785288484471,0.4834850010539864,0.501679560099224,4,4,4,4,4,4,4,4,4,0,3,3,0
